﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
ChibiiRemiiBuff	Y	Y	CombatVisual	Medium	Patreon/Phupperbat/ChibiiRemiiBuff.cs
ClippedWings	N	Y			Projectiles/Masomode/CursedFlamethrower.cs|Projectiles/Masomode/SniperBullet.cs|Projectiles/Masomode/SniperBulletShard.cs
ClippedWingsBuff	Y	Y	Unknown	Low	Buffs/Masomode/ClippedWingsBuff.cs
CoffinTossBuff	Y	Y	Unknown	Low	Buffs/Boss/CoffinTossBuff.cs
CorruptingBuff	Y	N	Unknown	Low	Buffs/Souls/CorruptingBuff.cs
CrimetroidBuff	Y	Y	Unknown	Low	Patreon/Shucks/CrimetroidBuff.cs
CrimsonRegenBuff	Y	Y	Mixed	Low	Buffs/Souls/CrimsonRegenBuff.cs
Crippled	N	Y			Projectiles/Masomode/CursedFlamethrower.cs|Projectiles/Masomode/SniperBullet.cs|Projectiles/Masomode/SniperBulletShard.cs
CrippledBuff	Y	Y	Unknown	Low	Buffs/Masomode/CrippledBuff.cs
CrystalSkullBuff	Y	Y	Unknown	Low	Buffs/Minions/CrystalSkullBuff.cs
CurseoftheMoon	N	Y			Projectiles/AbomScytheFriendly.cs|Projectiles/SpectralAbominationn.cs|Projectiles/BossWeapons/FishNuke.cs|Projectiles/BossWeapons/FishNukeExplosion.cs|Projectiles/BossWeapons/RazorbladeTyphoonFriendly.cs|Projectiles/Deathrays/DeviBigDeathray.cs
CurseoftheMoonBuff	Y	Y	Stat	High	Buffs/Masomode/CurseoftheMoonBuff.cs
Defenseless	N	Y			Bosses/AbomBoss/AbomRocket.cs|Projectiles/Masomode/RazorbladeTyphoon.cs
DefenselessBuff	Y	Y	Unknown	Low	Buffs/Masomode/DefenselessBuff.cs
DeviPresence	N	Y			Bosses/DeviBoss/DeviBoss.cs
DoveBuff	Y	Y	CombatVisual	Medium	Patreon/ManliestDove/DoveBuff.cs
DukeFishronBuff	Y	Y	Unknown	Low	Patreon/DemonKing/DukeFishronBuff.cs
EarthPoison	Y	Y	Unknown	Low	Buffs/Souls/EarthPoison.cs
EaterMinionBuff	Y	Y	Unknown	Low	Buffs/Minions/EaterMinionBuff.cs
FirstStrikeBuff	Y	Y	Stat	Medium	Buffs/Souls/FirstStrikeBuff.cs
FishMinionBuff	Y	Y	Unknown	Low	Patreon/Sasha/FishMinionBuff.cs
FlamesoftheUniverse	N	Y			Projectiles/Masomode/SkeletronBone.cs
FlamesoftheUniverseBuff	Y	Y	Unknown	Low	Buffs/Masomode/FlamesoftheUniverseBuff.cs
FlippedBuff	Y	Y	Unknown	Low	Buffs/Masomode/FlippedBuff.cs
FossilReviveCDBuff	Y	Y	Unknown	Low	Buffs/Souls/FossilReviveCDBuff.cs
FrozenBuff	Y	Y	Unknown	Low	Buffs/Souls/FrozenBuff.cs
FusedBuff	Y	Y	CombatVisual	Medium	Buffs/Masomode/FusedBuff.cs
GladiatorBuff	Y	Y	Unknown	Low	Buffs/GladiatorBuff.cs
GladiatorSpiritBuff	Y	Y	Stat	High	Buffs/GladiatorSpiritBuff.cs
GodEater	N	Y			Bosses/DeviBoss/DeviBoss.cs|Projectiles/Masomode/SkeletronBone.cs|Items/Accessories/Souls/MasochistSoul.cs
GodEaterBuff	Y	Y	Unknown	Low	Buffs/Masomode/GodEaterBuff.cs
GoldenStasisBuff	Y	Y	Unknown	Low	Buffs/Souls/GoldenStasisBuff.cs
GoldenStasisCDBuff	Y	Y	Unknown	Low	Buffs/Souls/GoldenStasisCDBuff.cs
GrabbedBuff	Y	Y	Unknown	Low	Buffs/Boss/GrabbedBuff.cs
GrabbedHarmlessBuff	Y	Y	Unknown	Low	Buffs/Boss/GrabbedHarmlessBuff.cs
GuiltyBuff	Y	Y	Stat	High	Buffs/Masomode/GuiltyBuff.cs
HallowCooldownBuff	Y	Y	Unknown	Low	Buffs/Souls/HallowCooldownBuff.cs
HallowIlluminatedBuff	Y	Y	CombatVisual	Medium	Buffs/Masomode/HallowIlluminatedBuff.cs
HellFireBuff	Y	Y	Unknown	Low	Buffs/HellFireBuff.cs
HellFireMarkedBuff	Y	Y	Unknown	Low	Buffs/HellFireMarkedBuff.cs
HexedBuff	Y	Y	Unknown	Low	Buffs/Masomode/HexedBuff.cs
HolyPriceBuff	Y	N	Unknown	Low	Buffs/Masomode/HolyPriceBuff.cs
HuntressBleedBuff	Y	N	Unknown	Low	Buffs/Souls/HuntressBleedBuff.cs
HuntressCDBuff	Y	N	Unknown	Low	Buffs/Souls/HuntressCDBuff.cs
HypothermiaBuff	Y	Y	Unknown	Low	Buffs/Masomode/HypothermiaBuff.cs
InfestedBuff	Y	Y	Unknown	Low	Buffs/Masomode/InfestedBuff.cs
IvyVenom	N	Y			Projectiles/Masomode/DicerPlantera.cs
IvyVenomBuff	Y	Y	Unknown	Low	Buffs/Masomode/IvyVenomBuff.cs
JammedBuff	Y	Y	Stat	High	Buffs/Masomode/JammedBuff.cs
JungleMimicSummonBuff	Y	Y	Unknown	Low	Buffs/Minions/JungleMimicSummonBuff.cs
KingSlimeMinionBuff	Y	Y	Unknown	Low	Patreon/Catsounds/KingSlimeMinionBuff.cs
LeadPoisonBuff	Y	Y	Unknown	Low	Buffs/Souls/LeadPoisonBuff.cs
LethargicBuff	Y	Y	Unknown	Low	Buffs/Masomode/LethargicBuff.cs
LightningRod	N	Y			Bosses/Champions/Cosmos/CosmosLightningOrb.cs
LightningRodBuff	Y	Y	CombatVisual	Medium	Buffs/Masomode/LightningRodBuff.cs
LihzahrdBlessingBuff	Y	Y	Unknown	Low	Buffs/Masomode/LihzahrdBlessingBuff.cs
LihzahrdCurseBuff	Y	Y	Unknown	Low	Buffs/Masomode/LihzahrdCurseBuff.cs
LivingWasteland	N	Y			Bosses/AbomBoss/AbomScytheFlaming.cs|NPCs/EternityModeNPCs/VanillaEnemies/PirateInvasion/Parrot.cs|NPCs/EternityModeNPCs/VanillaEnemies/PirateInvasion/Pirates.cs
LivingWastelandBuff	Y	Y	Mixed	Low	Buffs/Masomode/LivingWastelandBuff.cs
LoosePockets	N	Y			NPCs/EternityModeNPCs/VanillaEnemies/Cavern/UndeadMiner.cs|NPCs/EternityModeNPCs/VanillaEnemies/FrostMoon/Krampus.cs|NPCs/EternityModeNPCs/VanillaEnemies/GoblinInvasion/Goblins.cs|NPCs/EternityModeNPCs/VanillaEnemies/Night/Wraith.cs|NPCs/EternityModeNPCs/VanillaEnemies/PirateInvasion/Pirates.cs|NPCs/EternityModeNPCs/VanillaEnemies/SkyAndRain/Harpy.cs
LoosePocketsBuff	Y	Y	Unknown	Low	Buffs/Masomode/LoosePocketsBuff.cs
Lovestruck	N	Y			Bosses/DeviBoss/DeviSparklingLove.cs
LovestruckBuff	Y	Y	Unknown	Low	Buffs/Masomode/LovestruckBuff.cs
LowGroundBuff	Y	Y	Unknown	Low	Buffs/Masomode/LowGroundBuff.cs
LowGroundEridanusBuff	Y	Y	Unknown	Low	Buffs/Masomode/LowGroundEridanusBuff.cs
LunarCultistBuff	Y	Y	Unknown	Low	Buffs/Minions/LunarCultistBuff.cs
MagicalCleanseCDBuff	Y	N	Unknown	Low	Buffs/MagicalCleanseCDBuff.cs
MagicalCurseBuff	Y	N	Unknown	Low	Buffs/Masomode/MagicalCurseBuff.cs
MarkedforDeath	N	Y			Projectiles/EModeGlobalProjectile.cs
MarkedforDeathBuff	Y	Y	CombatVisual	Medium	Buffs/Masomode/MarkedforDeathBuff.cs
MidasBuff	Y	Y	Unknown	Low	Buffs/Masomode/MidasBuff.cs
MoltenAmplifyBuff	Y	N	Unknown	Low	Buffs/Souls/MoltenAmplifyBuff.cs
MonkBuff	Y	N	Unknown	Low	Buffs/Souls/MonkBuff.cs
MoonBowBuff	Y	Y	Unknown	Low	Buffs/MoonBowBuff.cs
MoonFangBuff	Y	N	Unknown	Low	Buffs/Boss/MoonFangBuff.cs
MushroomPowerBuff	Y	Y	Stat	High	Buffs/Souls/MushroomPowerBuff.cs
MutantDesperationBuff	Y	Y	Unknown	Low	Buffs/Boss/MutantDesperationBuff.cs
MutantFang	N	Y			Projectiles/EModeGlobalProjectile.cs
MutantFangBuff	Y	Y	Unknown	Low	Buffs/Boss/MutantFangBuff.cs
MutantNibble	N	Y			Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomStyxGazer.cs|Projectiles/BossWeapons/FishNuke.cs|Projectiles/BossWeapons/FishNukeExplosion.cs|Projectiles/Deathrays/DeviBigDeathray.cs
MutantNibbleBuff	Y	Y	Stat	High	Buffs/Masomode/MutantNibbleBuff.cs
MutantPowerBuff	Y	Y	Unknown	Low	Buffs/Minions/MutantPowerBuff.cs
MutantPresenceBuff	Y	Y	Unknown	Low	Buffs/Boss/MutantPresenceBuff.cs
MutantRebirthBuff	Y	N	Unknown	Low	Buffs/MutantRebirthBuff.cs
MutantSpawnBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/MutantSpawnBuff.cs
NanoInjectionBuff	Y	Y	Stat	High	Buffs/Masomode/NanoInjectionBuff.cs
NebulaBuff	Y	Y	Unknown	Low	Buffs/Souls/SolarBuff.cs
NeurotoxinBuff	Y	Y	Unknown	Low	Buffs/Masomode/NeurotoxinBuff.cs
NibbleBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/NibbleBuff.cs
NullificationCurseBuff	Y	Y	Unknown	Low	Buffs/Masomode/NullificationCurseBuff.cs
ObsidianLavaWetBuff	Y	Y	Unknown	Low	Buffs/Souls/ObsidianLavaWetBuff.cs
OceanicMaul	N	Y			Projectiles/AbomScytheFriendly.cs|Projectiles/SpectralAbominationn.cs|Projectiles/BossWeapons/FishNuke.cs|Projectiles/BossWeapons/FishNukeExplosion.cs|Projectiles/BossWeapons/RazorbladeTyphoonFriendly.cs
OceanicMaulBuff	Y	Y	Stat	Medium	Buffs/Masomode/OceanicMaulBuff.cs
OceanicSealBuff	Y	Y	CombatVisual	Medium	Buffs/Masomode/OceanicSealBuff.cs
OiledBuff	Y	Y	Unknown	Low	Buffs/Masomode/OiledBuff.cs
OriPoisonBuff	Y	N	Unknown	Low	Buffs/Souls/OriPoisonBuff.cs
PlanterasChildBuff	Y	Y	Unknown	Low	Buffs/Minions/PlanterasChildBuff.cs
PrimeMinionBuff	Y	Y	Unknown	Low	Patreon/Purified/PrimeMinionBuff.cs
ProbesBuff	Y	Y	Unknown	Low	Buffs/Minions/ProbesBuff.cs
PungentEyeballBuff	Y	N	Unknown	Low	Buffs/Minions/PungentEyeballBuff.cs
PungentGazeBuff	Y	Y	Unknown	Low	Buffs/Masomode/PungentGazeBuff.cs
PurgedBuff	Y	Y	Unknown	Low	Buffs/Masomode/PurgedBuff.cs
PurifiedBuff	Y	Y	Unknown	Low	Buffs/Masomode/PurifiedBuff.cs
RainbowSlimeBuff	Y	N	Unknown	Low	Buffs/Minions/RainbowSlimeBuff.cs
RainCDBuff	Y	Y	Unknown	Low	Buffs/Souls/RainCDBuff.cs
RefreshedBuff	Y	N	Unknown	Low	Buffs/Masomode/RefreshedBuff.cs
ReverseManaFlowBuff	Y	Y	Stat	High	Buffs/Masomode/ReverseManaFlowBuff.cs
ROBBuff	Y	Y	CombatVisual	Medium	Patreon/DanielTheRobot/ROBBuff.cs
RoombaPetBuff	Y	Y	CombatVisual	Medium	Patreon/Gittle/RoombaPetBuff.cs
Rotting	N	Y			Bosses/AbomBoss/AbomScytheFlaming.cs|Projectiles/Deathrays/DeviBigDeathray.cs
RottingBuff	Y	Y	Stat	High	Buffs/Masomode/RottingBuff.cs
RushJobBuff	Y	N	Unknown	Low	Buffs/Masomode/RushJobBuff.cs
SadismBuff	Y	Y	Unknown	Low	Buffs/Masomode/SadismBuff.cs
SaucerMinionBuff	Y	Y	Unknown	Low	Buffs/Minions/SaucerMinionBuff.cs
SeekerOfTreasuresBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/SeekerOfTreasuresBuff.cs
Shadowflame	N	Y			NPCs/EternityModeNPCs/VanillaEnemies/GoblinInvasion/GoblinSummoner.cs
ShadowflameBuff	Y	Y	Unknown	Low	Buffs/Masomode/ShadowflameBuff.cs
ShellHideBuff	Y	Y	CombatVisual	Medium	Buffs/Souls/ShellHideBuff.cs
SkeletronArmsBuff	Y	Y	Unknown	Low	Buffs/Minions/SkeletronArmsBuff.cs
SmiteBuff	Y	Y	Unknown	Low	Buffs/Masomode/SmiteBuff.cs
SnowstormCDBuff	Y	N	Unknown	Low	Buffs/Souls/SnowstormCDBuff.cs
SolarBuff	Y	Y	Unknown	Low	Buffs/Souls/NebulaBuff.cs
SolarFlareBuff	Y	Y	CombatVisual	Medium	Buffs/Souls/SolarFlareBuff.cs
SouloftheMasochistBuff	Y	Y	Unknown	Low	Buffs/Minions/SouloftheMasochistBuff.cs
SqueakyToy	N	Y			Projectiles/Masomode/FishronBubble.cs
SqueakyToyBuff	Y	Y	Unknown	Low	Buffs/Masomode/SqueakyToyBuff.cs
StardustBuff	Y	Y	Unknown	Low	Buffs/Souls/StardustBuff.cs
Stunned	N	Y			Projectiles/Deathrays/DeviBigDeathray.cs
StunnedBuff	Y	Y	Unknown	Low	Buffs/Masomode/StunnedBuff.cs
SublimationBuff	Y	Y	Unknown	Low	Buffs/SublimationBuff.cs
SuperBleedBuff	Y	Y	Unknown	Low	Buffs/Souls/SuperBleedBuff.cs
SuperchargedBuff	Y	Y	Stat	Medium	Buffs/SuperchargedBuff.cs
SwarmingBuff	Y	Y	Unknown	Low	Buffs/Masomode/SwarmingBuff.cs
ThiefCDBuff	Y	N	Unknown	Low	Buffs/Masomode/ThiefCDBuff.cs
TimberBleedBuff	Y	N	Unknown	Low	Buffs/Souls/TimberBleedBuff.cs
TimeFrozenBuff	Y	Y	Unknown	Low	Buffs/Souls/TimeFrozenBuff.cs
TimeStopCDBuff	Y	Y	CombatVisual	Medium	Buffs/Souls/TimeStopCDBuff.cs
TitaniumCDBuff	Y	N	Unknown	Low	Buffs/Souls/TitaniumCDBuff.cs
TitaniumDRBuff	Y	Y	Unknown	Low	Buffs/Souls/TitaniumDRBuff.cs
TouhouHoardBuff	Y	Y	Unknown	Low	Patreon/Tiger/TouhouHoardBuff.cs
TribalCharmClickBuff	Y	Y	Unknown	Low	Buffs/TribalCharmClickBuff.cs
TrojanSquirrelMountBuff	Y	Y	Unknown	Low	Buffs/Mounts/TrojanSquirrelMountBuff.cs
TrueEyesBuff	Y	Y	Unknown	Low	Buffs/Minions/TrueEyesBuff.cs
TwinsEXBuff	Y	Y	Unknown	Low	Buffs/Minions/TwinsEXBuff.cs
TwinsInstallBuff	Y	N	Stat	Medium	Buffs/TwinsInstallBuff.cs
UnluckyBuff	Y	Y	Unknown	Low	Buffs/Masomode/UnluckyBuff.cs
Unstable	N	Y			Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomRitual.cs|Bosses/AbomBoss/AbomRitualFTW.cs|Bosses/AbomBoss/AbomRitualMaso.cs|Bosses/AbomBoss/AbomScytheSpin.cs|Bosses/AbomBoss/AbomScytheSplit.cs|Bosses/AbomBoss/AbomStyxGazer.cs
UnstableBuff	Y	Y	Unknown	Low	Buffs/Masomode/UnstableBuff.cs
VortexBuff	Y	Y	Unknown	Low	Buffs/Souls/VortexBuff.cs
VortexCDBuff	Y	N	Unknown	Low	Buffs/Souls/VortexCDBuff.cs
WitheredBuff	Y	Y	Unknown	Low	Buffs/Souls/WitheredBuff.cs
WitheredForceBuff	Y	N	Unknown	Low	Buffs/Souls/WitheredForceBuff.cs
WitheredWizardBuff	Y	Y	Unknown	Low	Buffs/Souls/WitheredWizardBuff.cs
