﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
PetscopMarvinBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/PetscopMarvinBuff.cs
PetscopTiaraBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/PetscopTiaraBuff.cs
PheromoneWhipDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/PheromoneWhipDebuff.cs
PiercedBleedDebuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/PiercedBleedDebuff.cs
PiercedDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/PiercedDebuff.cs
Possessed	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/Possessed.cs
PumpkinHeadBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/PumpkinHeadBuff.cs
PuttyPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/PuttyPetBuff.cs
RatPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/RatPetBuff.cs
RotGourdMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/RotGourdMinionBuff.cs
RotGourdPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/RotGourdPetBuff.cs
SadDebuff	Y	Y	Stat	High	Spooky.Content.Buffs.Debuff/SadDebuff.cs
SeaSpongeBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs/SeaSpongeBuff.cs
SentientKeybrandDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/SentientKeybrandDebuff.cs
SentientLeatherWhipDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/SentientLeatherWhipDebuff.cs
ShroomHopperBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ShroomHopperBuff.cs
ShroomWhipDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/ShroomWhipDebuff.cs
SinisterSnailBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/SinisterSnailBuff.cs
SkullEmojiBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/SkullEmojiBuff.cs
SkullFrenzyBuff	Y	Y	Stat	High	Spooky.Content.Buffs/SkullFrenzyBuff.cs
SkullGoopBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/SkullGoopBuff.cs
SkullTotemBuff	Y	Y	Stat	High	Spooky.Content.Buffs.Minion/SkullTotemBuff.cs
SkullWispBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/SkullWispBuff.cs
SlendermanPageBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs/SlendermanPageBuff.cs
SmokerCoughDebuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/SmokerCoughDebuff.cs
SmokerLungCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/SmokerLungCooldown.cs
SoulSkullBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/SoulSkullBuff.cs
SpearfishBleed	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/SpearfishBleed.cs
SpiderArmorStealth	Y	Y	Stat	Medium	Spooky.Content.Buffs/SpiderArmorStealth.cs
SpiderBabyBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/SpiderBabyBuff.cs
SpiderSlingshotSlow	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/SpiderSlingshotSlow.cs
SpiderStealthCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/SpiderStealthCooldown.cs
SpookFishronMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/SpookFishronMinionBuff.cs
SpookySpiritPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/SpookySpiritPetBuff.cs
SteroidBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs/SteroidBuff.cs
SteroidWeakness	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/SteroidWeakness.cs
StickyEyeBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/StickyEyeBuff.cs
StitchedCloakCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/StitchedCloakCooldown.cs
StockingMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/StockingMinionBuff.cs
StrawberryBoostBuff	Y	Y	Stat	High	Spooky.Content.Buffs/StrawberryBoostBuff.cs
Tarred	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/Tarred.cs
ThornMark	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/ThornMark.cs
ThornRoseBleed	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/ThornRoseBleed.cs
TitanoboaWhipDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/TitanoboaWhipDebuff.cs
TortumorMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/TortumorMinionBuff.cs
TrapdoorSpiderMountBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Mounts/TrapdoorSpiderMountBuff.cs
TurkeyMountBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Mounts/TurkeyMountBuff.cs
ValleyNautilusBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ValleyNautilusBuff.cs
WhipSpiderAggression	Y	Y	Stat	Medium	Spooky.Content.Buffs.Debuff/WhipSpiderAggression.cs
WingedBiomassBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/WingedBiomassBuff.cs
YuletideArmorCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/YuletideArmorCooldown.cs
ZombieCultistPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ZombieCultistPetBuff.cs
